study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2204233,ERZ3164298,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164298/contig.fa.gz,11658_5#2
PRJEB45963,SAMEA2204229,ERZ3164300,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164300/contig.fa.gz,11658_4#1
PRJEB45963,SAMEA2204234,ERZ3164301,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164301/contig.fa.gz,11658_6#1
PRJEB45963,SAMEA2204235,ERZ3164303,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164303/contig.fa.gz,11658_5#3
PRJEB45963,SAMEA2204232,ERZ3164304,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164304/contig.fa.gz,11658_5#1
PRJEB45963,SAMEA2204236,ERZ3164305,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164305/contig.fa.gz,11658_4#3
PRJEB45963,SAMEA2204231,ERZ3164307,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164307/contig.fa.gz,11658_4#2
PRJEB45963,SAMEA2204230,ERZ3164308,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164308/contig.fa.gz,11657_5#1
PRJEB45963,SAMEA2204238,ERZ3164309,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164309/contig.fa.gz,11657_5#2
PRJEB45963,SAMEA2204237,ERZ3164310,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164310/contig.fa.gz,11658_5#4
PRJEB45963,SAMEA2204240,ERZ3164314,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164314/contig.fa.gz,11658_6#3
PRJEB45963,SAMEA2204242,ERZ3164315,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164315/contig.fa.gz,11791_7#1
PRJEB45963,SAMEA2204243,ERZ3164316,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164316/contig.fa.gz,11791_7#2
PRJEB45963,SAMEA2204246,ERZ3164318,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164318/contig.fa.gz,11791_6#1
PRJEB45963,SAMEA2204239,ERZ3164319,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164319/contig.fa.gz,11658_6#2
PRJEB45963,SAMEA2204241,ERZ3164320,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164320/contig.fa.gz,11658_5#5
PRJEB45963,SAMEA2204244,ERZ3164321,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164321/contig.fa.gz,11657_5#3
PRJEB45963,SAMEA2204245,ERZ3164322,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164322/contig.fa.gz,11658_6#4
PRJEB45963,SAMEA2204247,ERZ3164323,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164323/contig.fa.gz,11658_6#5
PRJEB45963,SAMEA2204248,ERZ3164325,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164325/contig.fa.gz,11658_7#1
PRJEB45963,SAMEA2204249,ERZ3164326,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164326/contig.fa.gz,11658_8#24
PRJEB45963,SAMEA2204250,ERZ3164328,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164328/contig.fa.gz,11791_7#3
PRJEB45963,SAMEA2204255,ERZ3164330,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164330/contig.fa.gz,11658_4#5
PRJEB45963,SAMEA2204251,ERZ3164331,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164331/contig.fa.gz,11658_5#6
PRJEB45963,SAMEA2204253,ERZ3164333,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164333/contig.fa.gz,11658_5#8
PRJEB45963,SAMEA2204254,ERZ3164334,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164334/contig.fa.gz,11658_4#4
PRJEB45963,SAMEA2204256,ERZ3164336,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164336/contig.fa.gz,11791_7#4
PRJEB45963,SAMEA2204257,ERZ3164337,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164337/contig.fa.gz,11791_7#5
PRJEB45963,SAMEA2204258,ERZ3164338,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164338/contig.fa.gz,11658_5#9
PRJEB45963,SAMEA2204252,ERZ3164339,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164339/contig.fa.gz,11658_5#7
PRJEB45963,SAMEA2204259,ERZ3164341,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164341/contig.fa.gz,11791_7#6
PRJEB45963,SAMEA2204260,ERZ3164343,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164343/contig.fa.gz,11657_5#4
PRJEB45963,SAMEA2204262,ERZ3164344,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164344/contig.fa.gz,11658_5#10
PRJEB45963,SAMEA2204261,ERZ3164345,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164345/contig.fa.gz,11657_6#1
PRJEB45963,SAMEA2204263,ERZ3164346,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164346/contig.fa.gz,11658_7#2
PRJEB45963,SAMEA2204264,ERZ3164349,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164349/contig.fa.gz,11658_5#11
PRJEB45963,SAMEA2204266,ERZ3164350,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164350/contig.fa.gz,11658_7#4
PRJEB45963,SAMEA2204267,ERZ3164351,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164351/contig.fa.gz,11658_8#25
PRJEB45963,SAMEA2204265,ERZ3164352,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164352/contig.fa.gz,11658_7#3
PRJEB45963,SAMEA2204268,ERZ3164353,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164353/contig.fa.gz,11658_6#6
PRJEB45963,SAMEA2204269,ERZ3164354,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164354/contig.fa.gz,11658_7#5
PRJEB45963,SAMEA2204272,ERZ3164355,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164355/contig.fa.gz,11658_5#12
PRJEB45963,SAMEA2204271,ERZ3164356,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164356/contig.fa.gz,11658_8#26
PRJEB45963,SAMEA2204270,ERZ3164357,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164357/contig.fa.gz,11658_6#7
PRJEB45963,SAMEA2204277,ERZ3164361,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164361/contig.fa.gz,11657_5#5
PRJEB45963,SAMEA2204276,ERZ3164362,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164362/contig.fa.gz,11658_5#14
PRJEB45963,SAMEA2204273,ERZ3164363,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164363/contig.fa.gz,11658_6#8
PRJEB45963,SAMEA2204274,ERZ3164364,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164364/contig.fa.gz,11658_5#13
PRJEB45963,SAMEA2204275,ERZ3164366,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164366/contig.fa.gz,11658_6#9
PRJEB45963,SAMEA2204279,ERZ3164367,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164367/contig.fa.gz,11791_7#7
PRJEB45963,SAMEA2204278,ERZ3164368,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164368/contig.fa.gz,11658_3#1
PRJEB45963,SAMEA2204281,ERZ3164369,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164369/contig.fa.gz,11658_6#11
PRJEB45963,SAMEA2204280,ERZ3164370,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164370/contig.fa.gz,11658_6#10
PRJEB45963,SAMEA2204284,ERZ3164374,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164374/contig.fa.gz,11658_8#27
PRJEB45963,SAMEA2204282,ERZ3164375,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164375/contig.fa.gz,11679_4#1
PRJEB45963,SAMEA2204283,ERZ3164376,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164376/contig.fa.gz,11658_6#12
PRJEB45963,SAMEA2204285,ERZ3164377,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164377/contig.fa.gz,11791_6#2
PRJEB45963,SAMEA2204286,ERZ3164378,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164378/contig.fa.gz,11658_7#6
PRJEB45963,SAMEA2204287,ERZ3164379,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164379/contig.fa.gz,11791_7#9
PRJEB45963,SAMEA2204290,ERZ3164380,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164380/contig.fa.gz,11658_5#15
PRJEB45963,SAMEA2204288,ERZ3164381,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164381/contig.fa.gz,11791_7#10
PRJEB45963,SAMEA2204289,ERZ3164383,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164383/contig.fa.gz,11658_7#7
PRJEB45963,SAMEA2204293,ERZ3164386,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164386/contig.fa.gz,11658_4#6
PRJEB45963,SAMEA2204292,ERZ3164387,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164387/contig.fa.gz,11791_7#12
PRJEB45963,SAMEA2204291,ERZ3164388,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164388/contig.fa.gz,11791_7#11
PRJEB45963,SAMEA2204298,ERZ3164389,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164389/contig.fa.gz,11658_8#28
PRJEB45963,SAMEA2204294,ERZ3164390,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164390/contig.fa.gz,11658_6#13
PRJEB45963,SAMEA2204295,ERZ3164391,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164391/contig.fa.gz,11657_6#2
PRJEB45963,SAMEA2204299,ERZ3164392,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164392/contig.fa.gz,11658_8#29
PRJEB45963,SAMEA2204297,ERZ3164393,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164393/contig.fa.gz,11658_6#15
PRJEB45963,SAMEA2204296,ERZ3164394,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164394/contig.fa.gz,11658_6#14
PRJEB45963,SAMEA2204305,ERZ3164398,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164398/contig.fa.gz,11658_8#31
PRJEB45963,SAMEA2204301,ERZ3164399,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164399/contig.fa.gz,11658_5#16
PRJEB45963,SAMEA2204302,ERZ3164400,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164400/contig.fa.gz,11658_6#16
PRJEB45963,SAMEA2204304,ERZ3164401,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164401/contig.fa.gz,11658_8#30
PRJEB45963,SAMEA2204306,ERZ3164402,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164402/contig.fa.gz,11791_7#13
PRJEB45963,SAMEA2204308,ERZ3164403,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164403/contig.fa.gz,11658_7#10
PRJEB45963,SAMEA2204300,ERZ3164404,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164404/contig.fa.gz,11658_7#8
PRJEB45963,SAMEA2204307,ERZ3164405,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164405/contig.fa.gz,11791_7#14
PRJEB45963,SAMEA2204303,ERZ3164406,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164406/contig.fa.gz,11658_7#9
PRJEB45963,SAMEA2204310,ERZ3164410,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164410/contig.fa.gz,11791_7#15
PRJEB45963,SAMEA2204311,ERZ3164413,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164413/contig.fa.gz,11658_5#17
PRJEB45963,SAMEA2204312,ERZ3164414,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164414/contig.fa.gz,11658_5#18
PRJEB45963,SAMEA2204315,ERZ3164415,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164415/contig.fa.gz,11658_4#7
PRJEB45963,SAMEA2204309,ERZ3164416,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164416/contig.fa.gz,11658_6#17
PRJEB45963,SAMEA2204313,ERZ3164417,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164417/contig.fa.gz,11658_7#11
PRJEB45963,SAMEA2204314,ERZ3164418,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164418/contig.fa.gz,11658_6#18
PRJEB45963,SAMEA2204317,ERZ3164419,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164419/contig.fa.gz,11658_6#19
PRJEB45963,SAMEA2204325,ERZ3164423,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164423/contig.fa.gz,11657_6#3
PRJEB45963,SAMEA2204323,ERZ3164424,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164424/contig.fa.gz,11658_7#13
PRJEB45963,SAMEA2204321,ERZ3164425,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164425/contig.fa.gz,11658_4#8
PRJEB45963,SAMEA2204320,ERZ3164426,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164426/contig.fa.gz,11658_5#19
PRJEB45963,SAMEA2204322,ERZ3164427,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164427/contig.fa.gz,11658_8#32
PRJEB45963,SAMEA2204326,ERZ3164428,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164428/contig.fa.gz,11679_5#1
PRJEB45963,SAMEA2204319,ERZ3164429,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164429/contig.fa.gz,11658_6#20
PRJEB45963,SAMEA2204324,ERZ3164430,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164430/contig.fa.gz,11658_4#9
PRJEB45963,SAMEA2204318,ERZ3164431,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164431/contig.fa.gz,11791_6#3
PRJEB45963,SAMEA2204328,ERZ3164435,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164435/contig.fa.gz,11658_5#21
PRJEB45963,SAMEA2204332,ERZ3164436,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164436/contig.fa.gz,11658_8#33
PRJEB45963,SAMEA2204330,ERZ3164438,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164438/contig.fa.gz,11658_5#23
PRJEB45963,SAMEA2204329,ERZ3164439,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164439/contig.fa.gz,11658_5#22
PRJEB45963,SAMEA2204333,ERZ3164440,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164440/contig.fa.gz,11658_8#34
PRJEB45963,SAMEA2204335,ERZ3164441,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164441/contig.fa.gz,11658_5#25
PRJEB45963,SAMEA2204334,ERZ3164442,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164442/contig.fa.gz,11657_6#4
PRJEB45963,SAMEA2204327,ERZ3164443,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164443/contig.fa.gz,11658_5#20
PRJEB45963,SAMEA2204339,ERZ3164448,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164448/contig.fa.gz,11658_5#26
PRJEB45963,SAMEA2204341,ERZ3164449,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164449/contig.fa.gz,11791_6#4
PRJEB45963,SAMEA2204343,ERZ3164450,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164450/contig.fa.gz,11791_6#5
PRJEB45963,SAMEA2204337,ERZ3164451,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164451/contig.fa.gz,11658_6#21
PRJEB45963,SAMEA2204338,ERZ3164452,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164452/contig.fa.gz,11658_7#14
PRJEB45963,SAMEA2204340,ERZ3164453,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164453/contig.fa.gz,11658_5#27
PRJEB45963,SAMEA2204336,ERZ3164454,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164454/contig.fa.gz,11658_4#10
PRJEB45963,SAMEA2204342,ERZ3164455,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164455/contig.fa.gz,11658_7#15
PRJEB45963,SAMEA2204344,ERZ3164456,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164456/contig.fa.gz,11658_5#28
PRJEB45963,SAMEA2204349,ERZ3164461,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164461/contig.fa.gz,11658_4#12
PRJEB45963,SAMEA2204353,ERZ3164462,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164462/contig.fa.gz,11658_5#30
PRJEB45963,SAMEA2204347,ERZ3164463,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164463/contig.fa.gz,11658_4#11
PRJEB45963,SAMEA2204352,ERZ3164464,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164464/contig.fa.gz,11658_4#14
PRJEB45963,SAMEA2204350,ERZ3164465,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164465/contig.fa.gz,11658_4#13
PRJEB45963,SAMEA2204351,ERZ3164466,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164466/contig.fa.gz,11658_6#23
PRJEB45963,SAMEA2204346,ERZ3164467,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164467/contig.fa.gz,11658_6#22
PRJEB45963,SAMEA2204345,ERZ3164468,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164468/contig.fa.gz,11791_7#16
PRJEB45963,SAMEA2204348,ERZ3164469,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164469/contig.fa.gz,11658_5#29
PRJEB45963,SAMEA2204360,ERZ3164473,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164473/contig.fa.gz,11657_6#5
PRJEB45963,SAMEA2204358,ERZ3164474,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164474/contig.fa.gz,11658_7#17
PRJEB45963,SAMEA2204354,ERZ3164475,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164475/contig.fa.gz,11658_7#16
PRJEB45963,SAMEA2204356,ERZ3164476,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164476/contig.fa.gz,11658_5#31
PRJEB45963,SAMEA2204355,ERZ3164477,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164477/contig.fa.gz,11658_8#35
PRJEB45963,SAMEA2204359,ERZ3164478,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164478/contig.fa.gz,11791_7#18
PRJEB45963,SAMEA2204362,ERZ3164479,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164479/contig.fa.gz,11657_5#6
PRJEB45963,SAMEA2204361,ERZ3164480,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164480/contig.fa.gz,11658_4#15
PRJEB45963,SAMEA2204357,ERZ3164481,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164481/contig.fa.gz,11791_7#17
PRJEB45963,SAMEA2204365,ERZ3164485,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164485/contig.fa.gz,11658_6#24
PRJEB45963,SAMEA2204363,ERZ3164486,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164486/contig.fa.gz,11657_6#6
PRJEB45963,SAMEA2204367,ERZ3164487,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164487/contig.fa.gz,11658_5#33
PRJEB45963,SAMEA2204369,ERZ3164488,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164488/contig.fa.gz,11658_4#16
PRJEB45963,SAMEA2204371,ERZ3164490,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164490/contig.fa.gz,11791_7#19
PRJEB45963,SAMEA2204366,ERZ3164491,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164491/contig.fa.gz,11658_7#18
PRJEB45963,SAMEA2204368,ERZ3164492,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164492/contig.fa.gz,11657_5#7
PRJEB45963,SAMEA2204364,ERZ3164493,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164493/contig.fa.gz,11658_5#32
PRJEB45963,SAMEA2204370,ERZ3164494,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164494/contig.fa.gz,11791_6#6
PRJEB45963,SAMEA2204372,ERZ3164498,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164498/contig.fa.gz,11658_8#36
PRJEB45963,SAMEA2204375,ERZ3164499,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164499/contig.fa.gz,11658_6#25
PRJEB45963,SAMEA2204373,ERZ3164500,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164500/contig.fa.gz,11658_5#34
PRJEB45963,SAMEA2204374,ERZ3164501,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164501/contig.fa.gz,11658_5#35
PRJEB45963,SAMEA2204376,ERZ3164502,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164502/contig.fa.gz,11658_6#26
PRJEB45963,SAMEA2204377,ERZ3164503,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164503/contig.fa.gz,11658_7#19
PRJEB45963,SAMEA2204380,ERZ3164504,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164504/contig.fa.gz,11658_6#28
PRJEB45963,SAMEA2204378,ERZ3164505,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164505/contig.fa.gz,11658_6#27
PRJEB45963,SAMEA2204379,ERZ3164506,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164506/contig.fa.gz,11658_8#37
PRJEB45963,SAMEA2204381,ERZ3164511,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164511/contig.fa.gz,11658_4#17
PRJEB45963,SAMEA2204382,ERZ3164512,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164512/contig.fa.gz,11658_5#36
PRJEB45963,SAMEA2204388,ERZ3164513,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164513/contig.fa.gz,11791_7#20
PRJEB45963,SAMEA2204386,ERZ3164514,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164514/contig.fa.gz,11658_8#39
PRJEB45963,SAMEA2204383,ERZ3164515,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164515/contig.fa.gz,11658_5#37
PRJEB45963,SAMEA2204389,ERZ3164516,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164516/contig.fa.gz,11658_5#38
PRJEB45963,SAMEA2204384,ERZ3164517,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164517/contig.fa.gz,11658_8#38
PRJEB45963,SAMEA2204387,ERZ3164518,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164518/contig.fa.gz,11658_6#29
PRJEB45963,SAMEA2204385,ERZ3164519,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164519/contig.fa.gz,11657_5#8
PRJEB45963,SAMEA2204391,ERZ3164523,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164523/contig.fa.gz,11658_4#18
PRJEB45963,SAMEA2204395,ERZ3164524,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164524/contig.fa.gz,11657_5#9
PRJEB45963,SAMEA2204392,ERZ3164526,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164526/contig.fa.gz,11658_7#20
PRJEB45963,SAMEA2204397,ERZ3164527,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164527/contig.fa.gz,11658_7#21
PRJEB45963,SAMEA2204398,ERZ3164529,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164529/contig.fa.gz,11658_7#22
PRJEB45963,SAMEA2204396,ERZ3164530,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164530/contig.fa.gz,11658_4#19
PRJEB45963,SAMEA2204390,ERZ3164531,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164531/contig.fa.gz,11679_6#1
PRJEB45963,SAMEA2204393,ERZ3164532,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164532/contig.fa.gz,11658_6#30
PRJEB45963,SAMEA2204400,ERZ3164536,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164536/contig.fa.gz,11658_7#23
PRJEB45963,SAMEA2204402,ERZ3164537,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164537/contig.fa.gz,11658_8#40
PRJEB45963,SAMEA2204404,ERZ3164538,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164538/contig.fa.gz,11658_5#40
PRJEB45963,SAMEA2204399,ERZ3164539,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164539/contig.fa.gz,11791_6#7
PRJEB45963,SAMEA2204401,ERZ3164540,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164540/contig.fa.gz,11791_7#21
PRJEB45963,SAMEA2204403,ERZ3164541,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164541/contig.fa.gz,11658_6#31
PRJEB45963,SAMEA2204407,ERZ3164542,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164542/contig.fa.gz,11791_7#22
