study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2205594,ERZ3166118,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166118/contig.fa.gz,11791_7#69
PRJEB45963,SAMEA2205597,ERZ3166119,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166119/contig.fa.gz,11658_7#91
PRJEB45963,SAMEA2205595,ERZ3166120,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166120/contig.fa.gz,11791_6#37
PRJEB45963,SAMEA2205599,ERZ3166121,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166121/contig.fa.gz,11679_4#81
PRJEB45963,SAMEA2205600,ERZ3166122,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166122/contig.fa.gz,11658_4#92
PRJEB45963,SAMEA2205598,ERZ3166123,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166123/contig.fa.gz,11657_6#86
PRJEB45963,SAMEA2205601,ERZ3166127,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166127/contig.fa.gz,11679_6#81
PRJEB45963,SAMEA2205605,ERZ3166128,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166128/contig.fa.gz,11657_5#93
PRJEB45963,SAMEA2205603,ERZ3166129,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166129/contig.fa.gz,11679_4#82
PRJEB45963,SAMEA2205607,ERZ3166130,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166130/contig.fa.gz,11658_5#96
PRJEB45963,SAMEA2205604,ERZ3166131,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166131/contig.fa.gz,11658_7#93
PRJEB45963,SAMEA2205602,ERZ3166132,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166132/contig.fa.gz,11658_7#92
PRJEB45963,SAMEA2205609,ERZ3166133,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166133/contig.fa.gz,11679_7#81
PRJEB45963,SAMEA2205608,ERZ3166134,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166134/contig.fa.gz,11679_5#78
PRJEB45963,SAMEA2205606,ERZ3166135,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166135/contig.fa.gz,11658_7#94
PRJEB45963,SAMEA2205610,ERZ3166139,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166139/contig.fa.gz,11679_4#83
PRJEB45963,SAMEA2205615,ERZ3166141,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166141/contig.fa.gz,11679_4#84
PRJEB45963,SAMEA2205613,ERZ3166142,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166142/contig.fa.gz,11658_3#85
