,precision,recall,f1,accuaracy
AMP,0.7306895975955919,0.6460176991150443,0.6649513600778714,0.6460176991150443
AMX,0.6762113601990006,0.5596330275229358,0.557111771807819,0.5596330275229358
AMC,0.6891487629735152,0.5727272727272728,0.5746698674459868,0.5727272727272728
TZP,0.9025554239295988,0.9,0.9012710945295215,0.9
CXM,0.7938423057619366,0.7393939393939394,0.7539547859547859,0.7393939393939394
CET,0.7916478685869628,0.7345132743362832,0.7340558254042184,0.7345132743362832
TBM,0.8003210950563584,0.7079646017699115,0.7197697355006129,0.7079646017699115
TMP,0.8126946083251392,0.7256637168141593,0.7127996983609467,0.7256637168141593
