,precision,recall,f1,accuaracy
AMP,0.7578198920242668,0.6371681415929203,0.6560111799049851,0.6371681415929203
AMX,0.6757548484496574,0.5275229357798165,0.5137492315894663,0.5275229357798165
AMC,0.6945126945126945,0.5606060606060606,0.5584065685558223,0.5606060606060606
TZP,0.9003736410437397,0.8393939393939394,0.8676253496355586,0.8393939393939394
CXM,0.7759151801704993,0.696969696969697,0.7160456134079988,0.696969696969697
CET,0.767838525881925,0.6902654867256637,0.686324782166609,0.6902654867256637
TBM,0.7864643910661611,0.672566371681416,0.6847080805873398,0.672566371681416
TMP,0.788819511279078,0.672566371681416,0.6479269437669273,0.672566371681416
