,precision,recall,f1,accuaracy
AMP,0.7612786027365299,0.6460176991150443,0.6646422580831741,0.6460176991150443
AMX,0.6681115842149158,0.536697247706422,0.5286339443154509,0.536697247706422
AMC,0.6972121212121213,0.5575757575757576,0.5539334689836362,0.5575757575757576
TZP,0.9029781879194632,0.8666666666666667,0.8838032786885247,0.8666666666666667
CXM,0.7751538301971342,0.703030303030303,0.7212534435261707,0.703030303030303
CET,0.767838525881925,0.6902654867256637,0.686324782166609,0.6902654867256637
TBM,0.7864643910661611,0.672566371681416,0.6847080805873398,0.672566371681416
TMP,0.792725221620056,0.6814159292035398,0.6591171429570815,0.6814159292035398
