,precision,recall,f1-score,support
S,0.9498069498069498,1.0,0.9742574257425743,246
R,1.0,0.8452380952380952,0.9161290322580644,84
accuracy,,,0.9606060606060606,330
macro avg,0.9749034749034748,0.9226190476190477,0.9451932290003193,330
weighted avg,0.9625833625833625,0.9606060606060606,0.9594611074010627,330
