,precision,recall,f1-score,support
S,0.943609022556391,0.9616858237547893,0.9525616698292221,261
R,0.7959183673469388,0.7222222222222222,0.7572815533980582,54
accuracy,,,0.9206349206349206,315
macro avg,0.869763694951665,0.8419540229885057,0.8549216116136402,315
weighted avg,0.9182906245204848,0.9206349206349206,0.9190850784410226,315
