,precision,recall,f1-score,support
S,0.9348659003831418,0.991869918699187,0.9625246548323472,246
R,0.9710144927536232,0.7976190476190477,0.8758169934640523,84
accuracy,,,0.9424242424242424,330
macro avg,0.9529401965683825,0.8947444831591174,0.9191708241481997,330
weighted avg,0.9440673602592643,0.9424242424242424,0.9404536137567813,330
