,precision,recall,f1-score,support
S,0.9312977099236641,0.991869918699187,0.9606299212598425,246
R,0.9705882352941176,0.7857142857142857,0.8684210526315789,84
accuracy,,,0.9393939393939394,330
macro avg,0.9509429726088909,0.8887921022067363,0.9145254869457107,330
weighted avg,0.941298934563416,0.9393939393939394,0.9371585728817391,330
