,precision,recall,f1-score,support
S,0.9534883720930233,1.0,0.9761904761904763,246
R,1.0,0.8571428571428571,0.923076923076923,84
accuracy,,,0.9636363636363636,330
macro avg,0.9767441860465116,0.9285714285714286,0.9496336996336996,330
weighted avg,0.9653276955602537,0.9636363636363636,0.9626706626706628,330
