,precision,recall,f1-score,support
S,0.8301282051282052,0.9923371647509579,0.9040139616055847,261
R,0.3333333333333333,0.018518518518518517,0.03508771929824561,54
accuracy,,,0.8253968253968254,315
macro avg,0.5817307692307693,0.5054278416347382,0.46955084045191514,315
weighted avg,0.74496336996337,0.8253968253968254,0.7550551772100408,315
