,precision,recall,f1-score,support
S,0.8862068965517241,0.9345454545454546,0.9097345132743364,275
R,0.55,0.4,0.46315789473684216,55
accuracy,,,0.8454545454545455,330
macro avg,0.7181034482758621,0.6672727272727272,0.6864462040055893,330
weighted avg,0.8301724137931035,0.8454545454545455,0.8353050768514206,330
