,precision,recall,f1-score,support
S,0.9299363057324841,0.9898305084745763,0.9589490968801313,295
R,0.8125,0.37142857142857144,0.5098039215686275,35
accuracy,,,0.9242424242424242,330
macro avg,0.871218152866242,0.6806295399515738,0.7343765092243795,330
weighted avg,0.9174809399729782,0.9242424242424242,0.9113124873773961,330
