,precision,recall,f1-score,support
S,0.953307392996109,0.9959349593495935,0.9741550695825051,246
R,0.9863013698630136,0.8571428571428571,0.9171974522292993,84
accuracy,,,0.9606060606060606,330
macro avg,0.9698043814295614,0.9265389082462253,0.9456762609059022,330
weighted avg,0.9617058598349574,0.9606060606060606,0.9596567669835072,330
