,precision,recall,f1-score,support
S,0.9605263157894737,1.0,0.9798657718120806,73
R,1.0,0.8571428571428571,0.923076923076923,21
accuracy,,,0.9680851063829787,94
macro avg,0.9802631578947368,0.9285714285714286,0.9514713474445018,94
weighted avg,0.9693449048152295,0.9680851063829787,0.967178901349971,94
