,precision,recall,f1-score,support
S,0.96,0.9863013698630136,0.9729729729729729,73
R,0.9473684210526315,0.8571428571428571,0.9,21
accuracy,,,0.9574468085106383,94
macro avg,0.9536842105263157,0.9217221135029354,0.9364864864864865,94
weighted avg,0.957178051511758,0.9574468085106383,0.9566705002875215,94
