,precision,recall,f1-score,support
S,0.9260700389105059,0.967479674796748,0.9463220675944334,246
R,0.8904109589041096,0.7738095238095238,0.8280254777070064,84
accuracy,,,0.9181818181818182,330
macro avg,0.9082404989073077,0.870644599303136,0.8871737726507198,330
weighted avg,0.9169931821816049,0.9181818181818182,0.916210208350361,330
