,precision,recall,f1-score,support
S,0.93359375,0.9715447154471545,0.9521912350597609,246
R,0.9054054054054054,0.7976190476190477,0.8481012658227848,84
accuracy,,,0.9272727272727272,330
macro avg,0.9194995777027026,0.884581881533101,0.9001462504412728,330
weighted avg,0.926418535012285,0.9272727272727272,0.9256956065267125,330
