,precision,recall,f1-score,support
S,0.9386973180076629,0.9959349593495935,0.9664694280078896,246
R,0.9855072463768116,0.8095238095238095,0.8888888888888888,84
accuracy,,,0.9484848484848485,330
macro avg,0.9621022821922373,0.9027293844367015,0.9276791584483892,330
weighted avg,0.950612572501628,0.9484848484848485,0.9467216544139622,330
