,precision,recall,f1-score,support
S,0.9448818897637795,0.9090909090909091,0.9266409266409267,132
R,0.6129032258064516,0.7307692307692307,0.6666666666666667,26
accuracy,,,0.879746835443038,158
macro avg,0.7788925577851156,0.8199300699300699,0.7966537966537968,158
weighted avg,0.8902524893657381,0.879746835443038,0.8838603522147827,158
