,precision,recall,f1-score,support
S,0.9191176470588235,0.9765625,0.946969696969697,128
R,0.896551724137931,0.7027027027027027,0.787878787878788,37
accuracy,,,0.9151515151515152,165
macro avg,0.9078346855983772,0.8396326013513513,0.8674242424242424,165
weighted avg,0.9140574097977748,0.9151515151515152,0.9112947658402204,165
