,precision,recall,f1-score,support
S,0.9030303030303031,1.0,0.9490445859872612,149
R,0.0,0.0,0.0,16
accuracy,,,0.9030303030303031,165
macro avg,0.45151515151515154,0.5,0.4745222929936306,165
weighted avg,0.815463728191001,0.9030303030303031,0.857016020073345,165
