,precision,recall,f1-score,support
S,0.9686274509803922,0.946360153256705,0.9573643410852712,261
R,0.7666666666666667,0.8518518518518519,0.8070175438596491,54
accuracy,,,0.9301587301587302,315
macro avg,0.8676470588235294,0.8991060025542784,0.8821909424724601,315
weighted avg,0.9340056022408965,0.9301587301587302,0.9315906044180217,315
