,precision,recall,f1-score,support
S,0.8588957055214724,1.0,0.9240924092409242,140
R,1.0,0.08,0.14814814814814814,25
accuracy,,,0.8606060606060606,165
macro avg,0.9294478527607362,0.54,0.5361202786945362,165
weighted avg,0.8802751440788251,0.8606060606060606,0.8065250969541399,165
