,precision,recall,f1-score,support
S,0.9389067524115756,0.9898305084745763,0.9636963696369638,295
R,0.8421052631578947,0.45714285714285713,0.5925925925925926,35
accuracy,,,0.9333333333333333,330
macro avg,0.8905060077847351,0.7234866828087168,0.7781444811147782,330
weighted avg,0.9286399277937608,0.9333333333333333,0.924336878132258,330
