,precision,recall,f1-score,support
S,0.9444444444444444,0.9714285714285714,0.9577464788732395,70
R,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
accuracy,,,0.9361702127659575,94
macro avg,0.9267676767676767,0.9023809523809524,0.9136558481322719,94
weighted avg,0.935418009886095,0.9361702127659575,0.9352321142395539,94
